name = who
year = 2007
yname = hdc
sex = female
distribution = LMS
citation = WHO
publication = WHO Multicentre Growth Reference Study Group (2007). WHO Child Growth Standards: Head circumference-for-age, arm circumference-for-age, triceps skinfold-for-age and subscapular skinfold-for-age: Methods and development. Geneva: World Health Organization; pp 217. (web site: http://www.who.int/childgrowth/publications/en/ )
[data]
x	L	M	S
0	1	33.8787	0.03496
0.0027	1	33.975	0.03479
0.0055	1	34.0714	0.03461
0.0082	1	34.1677	0.03444
0.011	1	34.264	0.03426
0.0137	1	34.3603	0.03409
0.0164	1	34.4566	0.03391
0.0192	1	34.5529	0.03374
0.0219	1	34.6493	0.03356
0.0246	1	34.7456	0.03339
0.0274	1	34.8419	0.03321
0.0301	1	34.9382	0.03304
0.0329	1	35.0345	0.03286
0.0356	1	35.1309	0.03269
0.0383	1	35.2272	0.03251
0.0411	1	35.3211	0.03248
0.0438	1	35.413	0.03245
0.0465	1	35.5028	0.03242
0.0493	1	35.5906	0.03239
0.052	1	35.6766	0.03236
0.0548	1	35.7607	0.03233
0.0575	1	35.843	0.03231
0.0602	1	35.9237	0.03228
0.063	1	36.0028	0.03226
0.0657	1	36.0803	0.03223
0.0684	1	36.1563	0.03221
0.0712	1	36.2309	0.03219
0.0739	1	36.3042	0.03217
0.0767	1	36.3761	0.03215
0.0794	1	36.4468	0.03213
0.0821	1	36.5163	0.03211
0.0849	1	36.5846	0.03209
0.0876	1	36.6519	0.03207
0.0903	1	36.718	0.03206
0.0931	1	36.7831	0.03204
0.0958	1	36.8472	0.03202
0.0986	1	36.9104	0.032
0.1013	1	36.9726	0.03199
0.104	1	37.034	0.03197
0.1068	1	37.0945	0.03196
0.1095	1	37.1541	0.03194
0.1123	1	37.213	0.03193
0.115	1	37.2711	0.03191
0.1177	1	37.3284	0.0319
0.1205	1	37.3851	0.03188
0.1232	1	37.4411	0.03187
0.1259	1	37.4964	0.03186
0.1287	1	37.551	0.03184
0.1314	1	37.605	0.03183
0.1342	1	37.6584	0.03182
0.1369	1	37.7112	0.0318
0.1396	1	37.7635	0.03179
0.1424	1	37.8152	0.03178
0.1451	1	37.8663	0.03177
0.1478	1	37.9169	0.03176
0.1506	1	37.9671	0.03174
0.1533	1	38.0167	0.03173
0.1561	1	38.0658	0.03172
0.1588	1	38.1145	0.03171
0.1615	1	38.1628	0.0317
0.1643	1	38.2106	0.03169
0.167	1	38.258	0.03168
0.1697	1	38.305	0.03167
0.1725	1	38.3516	0.03166
0.1752	1	38.3978	0.03164
0.178	1	38.4437	0.03163
0.1807	1	38.4891	0.03162
0.1834	1	38.5342	0.03161
0.1862	1	38.5789	0.0316
0.1889	1	38.6233	0.03159
0.1916	1	38.6673	0.03158
0.1944	1	38.711	0.03158
0.1971	1	38.7543	0.03157
0.1999	1	38.7973	0.03156
0.2026	1	38.84	0.03155
0.2053	1	38.8823	0.03154
0.2081	1	38.9244	0.03153
0.2108	1	38.9661	0.03152
0.2136	1	39.0075	0.03151
0.2163	1	39.0487	0.0315
0.219	1	39.0895	0.03149
0.2218	1	39.1301	0.03149
0.2245	1	39.1704	0.03148
0.2272	1	39.2104	0.03147
0.23	1	39.2501	0.03146
0.2327	1	39.2896	0.03145
0.2355	1	39.3288	0.03144
0.2382	1	39.3677	0.03144
0.2409	1	39.4064	0.03143
0.2437	1	39.4448	0.03142
0.2464	1	39.483	0.03141
0.2491	1	39.521	0.0314
0.2519	1	39.5587	0.0314
0.2546	1	39.5962	0.03139
0.2574	1	39.6335	0.03138
0.2601	1	39.6705	0.03137
0.2628	1	39.7073	0.03137
0.2656	1	39.7438	0.03136
0.2683	1	39.7802	0.03135
0.271	1	39.8163	0.03134
0.2738	1	39.8522	0.03134
0.2765	1	39.8879	0.03133
0.2793	1	39.9233	0.03132
0.282	1	39.9586	0.03131
0.2847	1	39.9936	0.03131
0.2875	1	40.0284	0.0313
0.2902	1	40.063	0.03129
0.293	1	40.0974	0.03129
0.2957	1	40.1316	0.03128
0.2984	1	40.1656	0.03127
0.3012	1	40.1994	0.03127
0.3039	1	40.233	0.03126
0.3066	1	40.2664	0.03125
0.3094	1	40.2995	0.03125
0.3121	1	40.3325	0.03124
0.3149	1	40.3653	0.03123
0.3176	1	40.3979	0.03123
0.3203	1	40.4303	0.03122
0.3231	1	40.4625	0.03121
0.3258	1	40.4946	0.03121
0.3285	1	40.5264	0.0312
0.3313	1	40.5581	0.0312
0.334	1	40.5895	0.03119
0.3368	1	40.6208	0.03118
0.3395	1	40.6519	0.03118
0.3422	1	40.6829	0.03117
0.345	1	40.7136	0.03117
0.3477	1	40.7442	0.03116
0.3504	1	40.7746	0.03115
0.3532	1	40.8048	0.03115
0.3559	1	40.8348	0.03114
0.3587	1	40.8647	0.03114
0.3614	1	40.8944	0.03113
0.3641	1	40.9239	0.03112
0.3669	1	40.9533	0.03112
0.3696	1	40.9824	0.03111
0.3723	1	41.0115	0.03111
0.3751	1	41.0403	0.0311
0.3778	1	41.069	0.0311
0.3806	1	41.0975	0.03109
0.3833	1	41.1259	0.03108
0.386	1	41.1541	0.03108
0.3888	1	41.1821	0.03107
0.3915	1	41.21	0.03107
0.3943	1	41.2378	0.03106
0.397	1	41.2653	0.03106
