name = who
year = 2007
yname = hdc
sex = male
distribution = LMS
citation = WHO
publication = WHO Multicentre Growth Reference Study Group (2007). WHO Child Growth Standards: Head circumference-for-age, arm circumference-for-age, triceps skinfold-for-age and subscapular skinfold-for-age: Methods and development. Geneva: World Health Organization; pp 217. (web site: http://www.who.int/childgrowth/publications/en/ )
[data]
x	L	M	S
0	1	34.4618	0.03686
0.0027	1	34.562	0.03656
0.0055	1	34.6622	0.03625
0.0082	1	34.7625	0.03595
0.011	1	34.8627	0.03564
0.0137	1	34.9629	0.03533
0.0164	1	35.0631	0.03503
0.0192	1	35.1634	0.03472
0.0219	1	35.2636	0.03441
0.0246	1	35.3638	0.03411
0.0274	1	35.464	0.0338
0.0301	1	35.5643	0.0335
0.0329	1	35.6645	0.03319
0.0356	1	35.7647	0.03288
0.0383	1	35.8649	0.03258
0.0411	1	35.9652	0.03248
0.0438	1	36.0632	0.03239
0.0465	1	36.159	0.0323
0.0493	1	36.2526	0.03221
0.052	1	36.3441	0.03213
0.0548	1	36.4338	0.03205
0.0575	1	36.5216	0.03197
0.0602	1	36.6078	0.03189
0.063	1	36.6922	0.03182
0.0657	1	36.7751	0.03175
0.0684	1	36.8566	0.03168
0.0712	1	36.9366	0.03161
0.0739	1	37.0152	0.03154
0.0767	1	37.0926	0.03148
0.0794	1	37.1687	0.03141
0.0821	1	37.2435	0.03135
0.0849	1	37.3172	0.03129
0.0876	1	37.3898	0.03123
0.0903	1	37.4612	0.03118
0.0931	1	37.5316	0.03112
0.0958	1	37.601	0.03107
0.0986	1	37.6694	0.03101
0.1013	1	37.7368	0.03096
0.104	1	37.8034	0.03091
0.1068	1	37.869	0.03086
0.1095	1	37.9338	0.03081
0.1123	1	37.9978	0.03076
0.115	1	38.0609	0.03072
0.1177	1	38.1233	0.03067
0.1205	1	38.185	0.03062
0.1232	1	38.2459	0.03058
0.1259	1	38.3061	0.03054
0.1287	1	38.3655	0.03049
0.1314	1	38.4243	0.03045
0.1342	1	38.4824	0.03041
0.1369	1	38.5399	0.03037
0.1396	1	38.5968	0.03033
0.1424	1	38.653	0.03029
0.1451	1	38.7087	0.03025
0.1478	1	38.7638	0.03021
0.1506	1	38.8183	0.03018
0.1533	1	38.8724	0.03014
0.1561	1	38.9258	0.0301
0.1588	1	38.9788	0.03007
0.1615	1	39.0313	0.03003
0.1643	1	39.0834	0.03
0.167	1	39.1349	0.02997
0.1697	1	39.1861	0.02993
0.1725	1	39.2368	0.0299
0.1752	1	39.2871	0.02987
0.178	1	39.3369	0.02984
0.1807	1	39.3863	0.02981
0.1834	1	39.4353	0.02978
0.1862	1	39.4838	0.02975
0.1889	1	39.532	0.02972
0.1916	1	39.5797	0.02969
0.1944	1	39.6271	0.02966
0.1971	1	39.674	0.02963
0.1999	1	39.7206	0.02961
0.2026	1	39.7668	0.02958
0.2053	1	39.8127	0.02955
0.2081	1	39.8581	0.02953
0.2108	1	39.9033	0.0295
0.2136	1	39.948	0.02948
0.2163	1	39.9924	0.02945
0.219	1	40.0365	0.02943
0.2218	1	40.0803	0.0294
0.2245	1	40.1237	0.02938
0.2272	1	40.1668	0.02936
0.23	1	40.2096	0.02933
0.2327	1	40.2521	0.02931
0.2355	1	40.2943	0.02929
0.2382	1	40.3362	0.02927
0.2409	1	40.3778	0.02925
0.2437	1	40.4191	0.02922
0.2464	1	40.4601	0.0292
0.2491	1	40.5008	0.02918
0.2519	1	40.5413	0.02916
0.2546	1	40.5815	0.02914
0.2574	1	40.6214	0.02912
0.2601	1	40.6611	0.0291
0.2628	1	40.7005	0.02908
0.2656	1	40.7396	0.02907
0.2683	1	40.7785	0.02905
0.271	1	40.8172	0.02903
0.2738	1	40.8555	0.02901
0.2765	1	40.8936	0.02899
0.2793	1	40.9315	0.02898
0.282	1	40.9691	0.02896
0.2847	1	41.0065	0.02894
0.2875	1	41.0436	0.02893
0.2902	1	41.0805	0.02891
0.293	1	41.1172	0.02889
0.2957	1	41.1536	0.02888
0.2984	1	41.1898	0.02886
0.3012	1	41.2257	0.02885
0.3039	1	41.2615	0.02883
0.3066	1	41.297	0.02882
0.3094	1	41.3323	0.0288
0.3121	1	41.3673	0.02879
0.3149	1	41.4022	0.02877
0.3176	1	41.4368	0.02876
0.3203	1	41.4712	0.02875
0.3231	1	41.5054	0.02873
0.3258	1	41.5394	0.02872
0.3285	1	41.5731	0.02871
0.3313	1	41.6067	0.02869
0.334	1	41.6401	0.02868
0.3368	1	41.6732	0.02867
0.3395	1	41.7062	0.02865
0.3422	1	41.7389	0.02864
0.345	1	41.7715	0.02863
0.3477	1	41.8038	0.02862
0.3504	1	41.836	0.02861
0.3532	1	41.868	0.02859
0.3559	1	41.8997	0.02858
0.3587	1	41.9313	0.02857
0.3614	1	41.9627	0.02856
0.3641	1	41.9939	0.02855
0.3669	1	42.0249	0.02854
0.3696	1	42.0557	0.02853
0.3723	1	42.0864	0.02852
0.3751	1	42.1168	0.02851
0.3778	1	42.1471	0.0285
0.3806	1	42.1772	0.02849
0.3833	1	42.2071	0.02848
0.386	1	42.2368	0.02847
0.3888	1	42.2664	0.02846
0.3915	1	42.2957	0.02845
0.3943	1	42.3249	0.02844
0.397	1	42.354	0.02843
0.3997	1	42.3828	0.02842
0.4025	1	42.4115	0.02841
0.4052	1	42.44	0.0284
0.4079	1	42.4684	0.02839
0.4107	1	42.4965	0.02839
0.4134	1	42.5246	0.02838
0.4162	1	42.5524	0.02837
0.4189	1	42.5801	0.02836
0.4216	1	42.6076	0.02835
0.4244	1	42.6349	0.02835
0.4271	1	42.6621	0.02834
0.4298	1	42.6892	0.02833
0.4326	1	42.716	0.02832
0.4353	1	42.7427	0.02832
0.4381	1	42.7693	0.02831
0.4408	1	42.7957	0.0283
0.4435	1	42.8219	0.02829
0.4463	1	42.848	0.02829
0.449	1	42.874	0.02828
0.4517	1	42.8997	0.02827
0.4545	1	42.9254	0.02827
0.4572	1	42.9509	0.02826
0.46	1	42.9762	0.02825
0.4627	1	43.0014	0.02825
0.4654	1	43.0264	0.02824
0.4682	1	43.0513	0.02823
0.4709	1	43.0761	0.02823
0.4736	1	43.1007	0.02822
0.4764	1	43.1252	0.02822
0.4791	1	43.1495	0.02821
0.4819	1	43.1737	0.0282
0.4846	1	43.1978	0.0282
0.4873	1	43.2217	0.02819
0.4901	1	43.2455	0.02819
0.4928	1	43.2691	0.02818
0.4956	1	43.2927	0.02818
0.4983	1	43.316	0.02817
0.501	1	43.3393	0.02817
0.5038	1	43.3624	0.02816
0.5065	1	43.3854	0.02816
0.5092	1	43.4083	0.02815
0.512	1	43.431	0.02815
0.5147	1	43.4536	0.02814
0.5175	1	43.4761	0.02814
0.5202	1	43.4984	0.02813
0.5229	1	43.5206	0.02813
0.5257	1	43.5427	0.02812
0.5284	1	43.5647	0.02812
0.5311	1	43.5865	0.02811
0.5339	1	43.6082	0.02811
0.5366	1	43.6298	0.0281
0.5394	1	43.6513	0.0281
0.5421	1	43.6727	0.0281
0.5448	1	43.6939	0.02809
0.5476	1	43.715	0.02809
0.5503	1	43.736	0.02808
0.553	1	43.7569	0.02808
0.5558	1	43.7777	0.02808
0.5585	1	43.7983	0.02807
0.5613	1	43.8188	0.02807
0.564	1	43.8393	0.02807
0.5667	1	43.8596	0.02806
0.5695	1	43.8798	0.02806
0.5722	1	43.8998	0.02806
0.5749	1	43.9198	0.02805
0.5777	1	43.9397	0.02805
0.5804	1	43.9594	0.02805
0.5832	1	43.9791	0.02804
0.5859	1	43.9986	0.02804
0.5886	1	44.0181	0.02804
0.5914	1	44.0374	0.02803
0.5941	1	44.0566	0.02803
0.5969	1	44.0757	0.02803
0.5996	1	44.0947	0.02802
0.6023	1	44.1136	0.02802
0.6051	1	44.1325	0.02802
0.6078	1	44.1512	0.02801
0.6105	1	44.1698	0.02801
0.6133	1	44.1883	0.02801
0.616	1	44.2067	0.02801
0.6188	1	44.225	0.028
0.6215	1	44.2432	0.028
0.6242	1	44.2613	0.028
0.627	1	44.2793	0.028
0.6297	1	44.2972	0.02799
0.6324	1	44.315	0.02799
0.6352	1	44.3328	0.02799
0.6379	1	44.3504	0.02799
0.6407	1	44.3679	0.02798
0.6434	1	44.3854	0.02798
0.6461	1	44.4027	0.02798
0.6489	1	44.42	0.02798
0.6516	1	44.4372	0.02798
0.6543	1	44.4543	0.02797
0.6571	1	44.4713	0.02797
0.6598	1	44.4882	0.02797
0.6626	1	44.505	0.02797
0.6653	1	44.5217	0.02797
0.668	1	44.5384	0.02796
0.6708	1	44.5549	0.02796
0.6735	1	44.5714	0.02796
0.6762	1	44.5878	0.02796
0.679	1	44.6041	0.02796
0.6817	1	44.6203	0.02795
0.6845	1	44.6365	0.02795
0.6872	1	44.6525	0.02795
0.6899	1	44.6685	0.02795
0.6927	1	44.6844	0.02795
0.6954	1	44.7002	0.02795
0.6982	1	44.716	0.02794
0.7009	1	44.7316	0.02794
0.7036	1	44.7472	0.02794
0.7064	1	44.7627	0.02794
0.7091	1	44.7781	0.02794
0.7118	1	44.7935	0.02794
0.7146	1	44.8088	0.02794
0.7173	1	44.824	0.02793
0.7201	1	44.8391	0.02793
0.7228	1	44.8542	0.02793
0.7255	1	44.8691	0.02793
0.7283	1	44.884	0.02793
0.731	1	44.8989	0.02793
0.7337	1	44.9136	0.02793
0.7365	1	44.9283	0.02793
0.7392	1	44.9429	0.02792
0.742	1	44.9575	0.02792
0.7447	1	44.972	0.02792
0.7474	1	44.9864	0.02792
0.7502	1	45.0007	0.02792
0.7529	1	45.015	0.02792
0.7556	1	45.0292	0.02792
0.7584	1	45.0433	0.02792
0.7611	1	45.0573	0.02792
0.7639	1	45.0713	0.02791
0.7666	1	45.0853	0.02791
0.7693	1	45.0991	0.02791
0.7721	1	45.1129	0.02791
0.7748	1	45.1267	0.02791
0.7775	1	45.1403	0.02791
0.7803	1	45.1539	0.02791
0.783	1	45.1674	0.02791
0.7858	1	45.1809	0.02791
0.7885	1	45.1943	0.02791
0.7912	1	45.2077	0.02791
0.794	1	45.2209	0.02791
0.7967	1	45.2341	0.0279
0.7995	1	45.2473	0.0279
0.8022	1	45.2604	0.0279
0.8049	1	45.2734	0.0279
0.8077	1	45.2864	0.0279
0.8104	1	45.2993	0.0279
0.8131	1	45.3121	0.0279
0.8159	1	45.3249	0.0279
0.8186	1	45.3377	0.0279
0.8214	1	45.3503	0.0279
0.8241	1	45.3629	0.0279
0.8268	1	45.3755	0.0279
0.8296	1	45.388	0.0279
0.8323	1	45.4004	0.0279
0.835	1	45.4128	0.0279
0.8378	1	45.4251	0.0279
0.8405	1	45.4374	0.02789
0.8433	1	45.4496	0.02789
0.846	1	45.4618	0.02789
0.8487	1	45.4739	0.02789
0.8515	1	45.4859	0.02789
0.8542	1	45.4979	0.02789
0.8569	1	45.5098	0.02789
0.8597	1	45.5217	0.02789
0.86240000000000006	1	45.5336	0.02789
0.8652	1	45.5453	0.02789
0.8679	1	45.5571	0.02789
0.8706	1	45.5687	0.02789
0.8734	1	45.5803	0.02789
0.8761	1	45.5919	0.02789
0.8789	1	45.6034	0.02789
0.8816	1	45.6149	0.02789
0.8843	1	45.6263	0.02789
0.8871	1	45.6376	0.02789
0.8898	1	45.6489	0.02789
0.8925	1	45.6602	0.02789
0.8953	1	45.6714	0.02789
0.898	1	45.6826	0.02789
0.9008	1	45.6937	0.02789
0.9035	1	45.7047	0.02789
0.9062	1	45.7158	0.02789
0.909	1	45.7267	0.02789
0.9117	1	45.7376	0.02789
0.9144	1	45.7485	0.02789
0.9172	1	45.7593	0.02789
0.9199	1	45.7701	0.02789
0.9227	1	45.7808	0.02789
0.9254	1	45.7915	0.02789
0.9281	1	45.8022	0.02789
0.9309	1	45.8128	0.02789
0.9336	1	45.8233	0.02788
0.9363	1	45.8338	0.02788
0.9391	1	45.8443	0.02788
0.9418	1	45.8547	0.02788
0.9446	1	45.8651	0.02788
0.9473	1	45.8754	0.02788
0.95	1	45.8857	0.02788
0.9528	1	45.8959	0.02788
0.9555	1	45.9061	0.02788
0.9582	1	45.9163	0.02788
0.961	1	45.9264	0.02788
0.9637	1	45.9364	0.02788
0.9665	1	45.9465	0.02788
0.9692	1	45.9565	0.02788
0.9719	1	45.9664	0.02788
0.9747	1	45.9763	0.02788
0.9774	1	45.9862	0.02788
0.9802	1	45.996	0.02788
0.9829	1	46.0058	0.02788
0.9856	1	46.0155	0.02788
0.9884	1	46.0252	0.02788
0.9911	1	46.0349	0.02789
0.9938	1	46.0445	0.02789
0.9966	1	46.0541	0.02789
0.9993	1	46.0637	0.02789
1.0021	1	46.0732	0.02789
1.0048	1	46.0827	0.02789
1.0075	1	46.0921	0.02789
1.0103	1	46.1015	0.02789
1.013	1	46.1109	0.02789
1.0157	1	46.1202	0.02789
1.0185	1	46.1295	0.02789
1.0212	1	46.1387	0.02789
1.024	1	46.148	0.02789
1.0267	1	46.1572	0.02789
1.0294	1	46.1663	0.02789
1.0322	1	46.1754	0.02789
1.0349	1	46.1845	0.02789
1.0376	1	46.1935	0.02789
1.0404	1	46.2025	0.02789
1.0431	1	46.2115	0.02789
1.0459	1	46.2204	0.02789
1.0486	1	46.2294	0.02789
1.0513	1	46.2382	0.02789
1.0541	1	46.2471	0.02789
1.0568	1	46.2559	0.02789
1.0595	1	46.2646	0.02789
1.0623	1	46.2734	0.02789
1.065	1	46.2821	0.02789
1.0678	1	46.2908	0.02789
1.0705	1	46.2994	0.02789
1.0732	1	46.308	0.02789
1.076	1	46.3166	0.02789
1.0787	1	46.3251	0.02789
1.0815	1	46.3337	0.02789
1.0842	1	46.3421	0.02789
1.0869	1	46.3506	0.02789
1.0897	1	46.359	0.02789
1.0924	1	46.3674	0.02789
1.0951	1	46.3758	0.02789
1.0979	1	46.3841	0.02789
1.1006	1	46.3924	0.0279
1.1034	1	46.4007	0.0279
1.1061	1	46.409	0.0279
1.1088	1	46.4172	0.0279
1.1116	1	46.4254	0.0279
1.1143	1	46.4335	0.0279
1.117	1	46.4417	0.0279
1.1198	1	46.4498	0.0279
1.1225	1	46.4578	0.0279
1.1253	1	46.4659	0.0279
1.128	1	46.4739	0.0279
