name = who
year = 2011
yname = hgt
sex = male
distribution = LMS
citation = WHO
publication = http://www.who.int and supplement by Gerko Vink for WFA 10-19
[data]
x	L	M	S
0	1	49.8842	0.03795
0.0027	1	50.0601	0.03785
0.0055	1	50.2359	0.03775
0.0082	1	50.4118	0.03764
0.011	1	50.5876	0.03754
0.0137	1	50.7635	0.03744
0.0164	1	50.9393	0.03734
0.0192	1	51.1152	0.03723
0.0219	1	51.291	0.03713
0.0246	1	51.4669	0.03703
0.0274	1	51.6427	0.03693
0.0301	1	51.818600000000004	0.03682
0.0329	1	51.9944	0.03672
0.0356	1	52.1702	0.03662
0.0383	1	52.3461	0.03652
0.0411	1	52.4978	0.03645
0.0438	1	52.6488	0.03639
0.0465	1	52.799	0.03633
0.0493	1	52.9483	0.03627
0.052	1	53.0967	0.03621
0.0548	1	53.2441	0.03615
0.0575	1	53.3905	0.03609
0.0602	1	53.536	0.03603
0.063	1	53.6805	0.03597
0.0657	1	53.8239	0.03592
0.0684	1	53.9664	0.03586
0.0712	1	54.1079	0.03581
0.0739	1	54.2485	0.03575
0.0767	1	54.3881	0.0357
0.0794	1	54.5268	0.03565
0.0821	1	54.6645	0.03559
0.0849	1	54.8012	0.03554
0.0876	1	54.9368	0.03549
0.0903	1	55.0714	0.03544
0.0931	1	55.2049	0.03539
0.0958	1	55.3374	0.03534
0.0986	1	55.4688	0.03529
0.1013	1	55.5992	0.03524
0.104	1	55.7285	0.0352
0.1068	1	55.8568	0.03515
0.1095	1	55.9841	0.0351
0.1123	1	56.1104	0.03506
0.115	1	56.2357	0.03501
0.1177	1	56.3599	0.03496
0.1205	1	56.4833	0.03492
0.1232	1	56.6056	0.03488
0.1259	1	56.7269	0.03483
0.1287	1	56.8472	0.03479
0.1314	1	56.9666	0.03475
0.1342	1	57.0851	0.0347
0.1369	1	57.2026	0.03466
0.1396	1	57.3192	0.03462
0.1424	1	57.4349	0.03458
0.1451	1	57.5497	0.03454
0.1478	1	57.6637	0.0345
0.1506	1	57.7767	0.03446
0.1533	1	57.8889	0.03442
0.1561	1	58.0003	0.03438
0.1588	1	58.1109	0.03434
0.1615	1	58.2207	0.03431
0.1643	1	58.3299	0.03427
0.167	1	58.4384	0.03423
0.1697	1	58.5463	0.0342
0.1725	1	58.6536	0.03416
0.1752	1	58.7603	0.03412
0.178	1	58.8664	0.03409
0.1807	1	58.9718	0.03405
0.1834	1	59.0766	0.03402
0.1862	1	59.1808	0.03398
0.1889	1	59.2843	0.03395
0.1916	1	59.3872	0.03392
0.1944	1	59.4894	0.03388
0.1971	1	59.591	0.03385
0.1999	1	59.692	0.03382
0.2026	1	59.7923	0.03379
0.2053	1	59.892	0.03375
0.2081	1	59.991	0.03372
0.2108	1	60.0894	0.03369
0.2136	1	60.1872	0.03366
0.2163	1	60.2843	0.03363
0.219	1	60.3808	0.0336
0.2218	1	60.4767	0.03357
0.2245	1	60.5719	0.03354
0.2272	1	60.6665	0.03351
0.23	1	60.7605	0.03348
0.2327	1	60.8539	0.03345
0.2355	1	60.9466	0.03342
0.2382	1	61.0388	0.0334
0.2409	1	61.1303	0.03337
0.2437	1	61.2212	0.03334
0.2464	1	61.3115	0.03331
0.2491	1	61.4013	0.03329
0.2519	1	61.4904	0.03326
0.2546	1	61.579	0.03323
0.2574	1	61.667	0.03321
0.2601	1	61.7543	0.03318
0.2628	1	61.8411	0.03316
0.2656	1	61.9274	0.03313
0.2683	1	62.013	0.03311
0.271	1	62.0981	0.03308
0.2738	1	62.1826	0.03306
0.2765	1	62.2665	0.03303
0.2793	1	62.3499	0.03301
0.282	1	62.4327	0.03298
0.2847	1	62.5149	0.03296
0.2875	1	62.5966	0.03294
0.2902	1	62.6778	0.03291
0.293	1	62.7584	0.03289
0.2957	1	62.8384	0.03287
0.2984	1	62.918	0.03284
0.3012	1	62.9969	0.03282
0.3039	1	63.0754	0.0328
0.3066	1	63.1533	0.03278
0.3094	1	63.2307	0.03276
0.3121	1	63.3076	0.03273
0.3149	1	63.3839	0.03271
0.3176	1	63.4598	0.03269
0.3203	1	63.5351	0.03267
0.3231	1	63.6099	0.03265
0.3258	1	63.6842	0.03263
0.3285	1	63.758	0.03261
0.3313	1	63.8313	0.03259
0.334	1	63.9041	0.03257
0.3368	1	63.9765	0.03255
0.3395	1	64.0483	0.03253
0.3422	1	64.1197	0.03251
0.345	1	64.1906	0.03249
0.3477	1	64.261	0.03247
0.3504	1	64.331	0.03245
0.3532	1	64.4006	0.03243
0.3559	1	64.4697	0.03241
0.3587	1	64.5383	0.03239
0.3614	1	64.6066	0.03238
0.3641	1	64.6744	0.03236
0.3669	1	64.7418	0.03234
0.3696	1	64.8088	0.03232
0.3723	1	64.8755	0.0323
0.3751	1	64.9417	0.03229
0.3778	1	65.0075	0.03227
0.3806	1	65.073	0.03225
0.3833	1	65.138	0.03223
0.386	1	65.2027	0.03222
0.3888	1	65.2671	0.0322
0.3915	1	65.331	0.03218
0.3943	1	65.3946	0.03217
0.397	1	65.4579	0.03215
0.3997	1	65.5208	0.03214
0.4025	1	65.5834	0.03212
0.4052	1	65.6456	0.0321
0.4079	1	65.7075	0.03209
0.4107	1	65.769	0.03207
0.4134	1	65.8303	0.03206
0.4162	1	65.8912	0.03204
0.4189	1	65.9518	0.03203
0.4216	1	66.0121	0.03201
0.4244	1	66.0721	0.032
0.4271	1	66.1317	0.03198
0.4298	1	66.1911	0.03197
0.4326	1	66.2502	0.03196
0.4353	1	66.3089	0.03194
0.4381	1	66.3674	0.03193
0.4408	1	66.4256	0.03191
0.4435	1	66.4835	0.0319
0.4463	1	66.5412	0.03189
0.449	1	66.5985	0.03187
0.4517	1	66.6556	0.03186
0.4545	1	66.7125	0.03185
0.4572	1	66.7691	0.03183
0.46	1	66.8254	0.03182
0.4627	1	66.8815	0.03181
0.4654	1	66.9373	0.0318
0.4682	1	66.993	0.03179
0.4709	1	67.0483	0.03177
0.4736	1	67.1035	0.03176
0.4764	1	67.1584	0.03175
0.4791	1	67.2132	0.03174
0.4819	1	67.2677	0.03173
0.4846	1	67.3219	0.03171
0.4873	1	67.376	0.0317
0.4901	1	67.4299	0.03169
0.4928	1	67.4836	0.03168
0.4956	1	67.5371	0.03167
0.4983	1	67.5904	0.03166
0.501	1	67.6435	0.03165
0.5038	1	67.6964	0.03164
0.5065	1	67.7491	0.03163
0.5092	1	67.8017	0.03162
0.512	1	67.8541	0.03161
0.5147	1	67.9062	0.0316
0.5175	1	67.9583	0.03159
0.5202	1	68.0101	0.03158
0.5229	1	68.0618	0.03157
0.5257	1	68.1133	0.03156
0.5284	1	68.1647	0.03155
0.5311	1	68.2158	0.03154
0.5339	1	68.2669	0.03153
0.5366	1	68.3177	0.03152
0.5394	1	68.3685	0.03152
0.5421	1	68.419	0.03151
0.5448	1	68.4695	0.0315
0.5476	1	68.5198	0.03149
0.5503	1	68.5699	0.03148
0.553	1	68.6199	0.03147
0.5558	1	68.6698	0.03147
0.5585	1	68.7195	0.03146
0.5613	1	68.7691	0.03145
0.564	1	68.8186	0.03144
0.5667	1	68.8679	0.03144
0.5695	1	68.9171	0.03143
0.5722	1	68.9662	0.03142
0.5749	1	69.0152	0.03141
0.5777	1	69.0641	0.03141
0.5804	1	69.1128	0.0314
0.5832	1	69.1615	0.03139
0.5859	1	69.21	0.03139
0.5886	1	69.2584	0.03138
0.5914	1	69.3067	0.03137
0.5941	1	69.3549	0.03137
0.5969	1	69.4031	0.03136
0.5996	1	69.4511	0.03136
0.6023	1	69.499	0.03135
0.6051	1	69.5468	0.03134
0.6078	1	69.5945	0.03134
0.6105	1	69.6421	0.03133
0.6133	1	69.6896	0.03133
0.616	1	69.737	0.03132
0.6188	1	69.7844	0.03132
0.6215	1	69.8316	0.03131
0.6242	1	69.8787	0.03131
0.627	1	69.9258	0.0313
0.6297	1	69.9728	0.0313
0.6324	1	70.0197	0.03129
0.6352	1	70.0665	0.03129
0.6379	1	70.1132	0.03128
0.6407	1	70.1599	0.03128
0.6434	1	70.2064	0.03127
0.6461	1	70.2529	0.03127
0.6489	1	70.2994	0.03126
0.6516	1	70.3457	0.03126
0.6543	1	70.392	0.03126
0.6571	1	70.4382	0.03125
